Departed Seats,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
thousands, , , , , , , , , , , , , , , , , , , , , , , , , 
,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
American,138791.85974245894,131501.68130585292,131554.02638128708,130187.78416212356,133729.0550597878,138292.35266241294,130006.99510049443,154161.14680493585,140898.11889583952,139058.22035010785,141069.97855144713,137859.8865177399,135856.20423894917,130437.97264920293,120147.26070500269,119072.4325543632,118431.29831665647,117223.84179789221,118131.9239342817,118958.15277098224,195322.60088772315,196476.80777005723,196588.19254666983,201106.378274347,206966.75669190535
Continental,66446.62599069485,62353.47295171956,64588.80478158178,68323.91382760942,71756.23379634263,72607.6695400018,68938.63560423594,63487.987473087065,60081.56088269648,61731.140112359615,62030.6137777522,65764.23142823017,68719.98467659108,66462.04761921878,60975.57244394786,58906.3096463764,62533.5640766312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta,171218.7098017008,170693.59681744743,174705.70700628584,172696.44027095515,170454.96094331262,169022.36431368697,159852.38765610728,147472.34484864952,127115.11640101855,131961.42929009374,128832.05726062514,107188.70667574536,103269.309918294,100620.20820027025,95085.59491960441,161948.29324077355,164206.46450774037,164548.2816966614,170721.56770840965,179245.6276131901,192182.27004705791,200212.8119457919,200212.98157367873,207596.83891214957,218030.15184293757
Northwest,103591.04914613151,109069.50066438719,110102.84034911501,101727.63336199525,110044.99002392578,113233.2270731432,106232.13963246565,101606.63754123979,97353.0584550385,98978.02150120676,95684.68954845931,87646.7336575087,86049.78789166646,77801.15456720223,65867.95691650332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United,151622.4744130027,152463.52950340966,155499.87710836143,156117.12519137727,157619.9646457503,153235.60747374102,139541.71482170044,121570.18742088437,108806.30821134862,112437.71445872857,102578.73615400103,104932.29988491762,103502.1382823564,96925.62307472927,84855.1391134688,79101.9264072461,73692.85693150318,130247.38209356963,125134.34248159814,124430.67030274066,130602.27064255567,137591.0911325567,147637.40432309135,154752.06361779495,158584.0114297764
US Airways,104190.31430802488,98940.89824645493,98808.91762483031,95277.28898965173,96215.74589476646,104228.04222893664,100110.32169564189,82344.14010990279,67686.70856869979,69047.05617935213,68749.9794262555,84017.69126862762,82026.87343772156,77663.84574281504,72753.9234201451,72950.44823124973,73294.87174625792,73918.80836756677,76720.55887647772,77957.20285600817,0.0,0.0,0.0,0.0,0.0
America West,28310.536128591717,29500.118262861535,30184.94650606147,29540.678817267584,30045.573995606264,30896.89536655636,29704.84934180106,28437.615178140943,27717.47319384698,28654.351063875787,29676.639364330502,28809.840392530576,20492.405422892938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 --sub Network,764171.5695306053,754522.7977521332,765445.1197575228,753870.8646209799,769866.5243594919,781516.158658479,734387.0438524466,699080.0593768404,629658.3446084884,641867.9329557245,628622.6940828707,616219.3898253,599916.7038684716,549910.8518534384,499685.4475186722,491979.410080009,492159.05557878915,485938.31395569,490708.3930007672,500591.6535429212,518107.1415773367,534280.7108484058,544438.5784434399,563455.2808042916,583580.9199646193
, , , , , , , , , , , , , , , , , , , , , , , , , 
Southwest,91880.94657178505,99244.211445904,104758.1788791352,107882.27890807946,113904.97395214341,121906.6878788583,127254.23647835577,128305.00843235047,128745.38945915896,133472.9282864522,140403.51744163822,149116.1727549013,158421.4820419509,162603.44379192792,153565.31119457306,152103.84807160118,156344.97971625143,185376.93562550977,185636.00138506,181958.46275095668,187608.86566157063,195628.1007649127,204098.39043090367,211252.9839183876,210160.90348859888
jetBlue,0.0,0.0,0.0,0.0,0.0,1659.8655609939517,4320.7629056436335,7152.160029078725,10745.003948619351,14174.413399747262,17487.63551088307,24110.388092664423,28408.596757395226,29032.079914187907,30281.679408871365,31665.275560014437,34226.861316416966,37023.451676801255,39434.83477297157,41481.77442641403,45206.923834155146,49045.155899108875,52379.87796949488,55265.06487504044,56134.610025919574
AirTran,125.59833782554847,1702.0507333897783,1929.3959412779495,8349.395674718286,11098.061910146582,11083.309036994764,12230.90737428637,15106.913692543185,16937.487920342526,19141.22097387952,23503.761461782906,29144.167804560373,32693.239192652723,32708.70759759187,31587.029739735608,31728.578125342647,31929.1382647793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontier,1602.7107776419598,2143.300058177394,2621.4249821695553,2790.589214847537,4170.604176827825,4833.661113570601,5423.641521330759,6094.776741103994,7823.330303725063,9015.7763099614,9788.372989431722,11606.967545762647,13594.477887719759,13317.882898852184,11927.967344619326,11424.120415803416,12507.557349942736,12328.7604422592,11990.443783324237,13875.09445860453,15410.644590161954,17228.895398412897,19789.189655521765,23244.03203142356,26755.38157501579
Virgin America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.3565919442552,3521.447453139133,4804.272329065323,4949.9159125113565,6271.37549650837,7992.878387909887,8320.069358889077,8355.872839696818,8984.669228402556,10065.788630745572,10372.252721724955,0.0,0.0
 -- sub LCC,93609.25568725256,103089.56223747118,109308.99980258271,119022.26379764528,129173.64003911782,139483.5235904176,149229.54827961652,156658.85889507638,164251.21163184592,175804.33897004038,191183.2874037359,213977.69619788873,233768.15247166285,241183.561655699,232166.2600168647,231871.73808527304,241279.9121438988,242722.0261324801,245381.34930024488,245671.20447567204,257211.10331429026,271967.94069318,286639.7107776453,289762.08082485164,293050.8950895342
, , , , , , , , , , , , , , , , , , , , , , , , , 
